<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GDAX.BTC-USD;D;20200620;000000;9300.4200000;9391.7100000;9161.0000000;9355.7400000;6888
GDAX.BTC-USD;D;20200621;000000;9355.7400000;9419.3500000;9273.0000000;9286.1400000;3055
GDAX.BTC-USD;D;20200622;000000;9286.1400000;9792.0000000;9267.5800000;9690.7400000;11746
GDAX.BTC-USD;D;20200623;000000;9690.6700000;9724.5300000;9572.2200000;9623.5600000;7957
GDAX.BTC-USD;D;20200624;000000;9623.5600000;9663.3800000;9195.0000000;9285.9100000;13390
GDAX.BTC-USD;D;20200625;000000;9285.9400000;9335.0000000;8979.0700000;9243.5100000;13527
GDAX.BTC-USD;D;20200626;000000;9242.9800000;9291.7300000;9027.6200000;9155.4200000;10701
GDAX.BTC-USD;D;20200627;000000;9155.4200000;9188.1400000;8815.0100000;9002.4600000;8386
GDAX.BTC-USD;D;20200628;000000;9002.3800000;9189.0000000;8931.7700000;9113.2400000;5538
GDAX.BTC-USD;D;20200629;000000;9113.2300000;9236.7500000;9014.0000000;9184.4500000;8642
GDAX.BTC-USD;D;20200630;000000;9188.7900000;9201.0000000;9059.6000000;9136.2000000;6807
GDAX.BTC-USD;D;20200701;000000;9135.9100000;9297.2000000;9088.0000000;9239.9700000;7546
GDAX.BTC-USD;D;20200702;000000;9239.4100000;9265.0000000;8938.0000000;9091.5300000;10770
GDAX.BTC-USD;D;20200703;000000;9091.9800000;9126.1200000;9036.7400000;9063.8700000;7746
GDAX.BTC-USD;D;20200704;000000;9059.7300000;9195.8400000;9039.8400000;9138.5100000;5287
GDAX.BTC-USD;D;20200705;000000;9138.5100000;9145.0000000;8905.8400000;9074.3900000;4562
GDAX.BTC-USD;D;20200706;000000;9074.3700000;9375.9000000;9061.5900000;9343.3100000;9937
GDAX.BTC-USD;D;20200707;000000;9343.3100000;9379.3400000;9201.5700000;9253.9400000;6319
GDAX.BTC-USD;D;20200708;000000;9253.9400000;9475.0000000;9232.2000000;9435.2800000;10134
GDAX.BTC-USD;D;20200709;000000;9435.2800000;9446.6200000;9154.7900000;9236.9500000;8453
GDAX.BTC-USD;D;20200710;000000;9236.9500000;9322.2300000;9118.0000000;9291.0500000;6886
GDAX.BTC-USD;D;20200711;000000;9291.0400000;9303.0400000;9182.3500000;9235.0000000;3356
GDAX.BTC-USD;D;20200712;000000;9235.0000000;9347.5300000;9159.3300000;9303.3700000;5370
GDAX.BTC-USD;D;20200713;000000;9303.3800000;9339.6100000;9193.5200000;9236.9200000;8705
GDAX.BTC-USD;D;20200714;000000;9236.9100000;9280.0000000;9100.0000000;9256.9400000;7472
GDAX.BTC-USD;D;20200715;000000;9256.9400000;9273.9800000;9154.0100000;9190.1600000;7206
GDAX.BTC-USD;D;20200716;000000;9190.8000000;9216.0200000;9005.0000000;9130.1100000;8770
GDAX.BTC-USD;D;20200717;000000;9130.9300000;9182.9900000;9054.9900000;9154.2900000;6410
GDAX.BTC-USD;D;20200718;000000;9154.2900000;9210.0000000;9122.6500000;9175.8500000;4105
GDAX.BTC-USD;D;20200719;000000;9175.8300000;9245.0300000;9105.3700000;9212.8700000;3501
GDAX.BTC-USD;D;20200720;000000;9214.0100000;9223.5100000;9131.0000000;9161.0500000;5812
GDAX.BTC-USD;D;20200721;000000;9161.0500000;9438.0000000;9157.0400000;9394.1400000;9616
GDAX.BTC-USD;D;20200722;000000;9394.1400000;9567.7700000;9277.0000000;9536.1800000;10349
GDAX.BTC-USD;D;20200723;000000;9536.2000000;9686.0000000;9450.0400000;9613.2400000;12999
GDAX.BTC-USD;D;20200724;000000;9613.2400000;9645.5500000;9475.7000000;9551.2100000;9790
GDAX.BTC-USD;D;20200725;000000;9551.2100000;9747.7600000;9536.6400000;9711.3300000;6963
GDAX.BTC-USD;D;20200726;000000;9711.7900000;10150.0000000;9661.3500000;9941.0000000;11626
GDAX.BTC-USD;D;20200727;000000;9941.0000000;11420.0000000;9935.0000000;11048.9100000;41853
GDAX.BTC-USD;D;20200728;000000;11048.0500000;11259.0000000;10575.0000000;10934.2300000;26007
GDAX.BTC-USD;D;20200729;000000;10934.2200000;11350.0000000;10843.4700000;11110.1200000;18558
GDAX.BTC-USD;D;20200730;000000;11108.1600000;11188.6500000;10811.0000000;11115.9500000;12412
GDAX.BTC-USD;D;20200731;000000;11115.9900000;11460.0000000;10975.0000000;11351.6200000;15754
GDAX.BTC-USD;D;20200801;000000;11351.6100000;11888.0000000;11237.8200000;11810.0700000;18289
GDAX.BTC-USD;D;20200802;000000;11810.0700000;12134.2900000;10546.1500000;11068.5400000;28117
GDAX.BTC-USD;D;20200803;000000;11067.4600000;11486.6000000;10911.7400000;11233.1300000;13764
GDAX.BTC-USD;D;20200804;000000;11233.1600000;11417.1100000;11006.1600000;11197.0400000;12082
GDAX.BTC-USD;D;20200805;000000;11197.0500000;11798.8700000;11073.7000000;11756.7500000;16652
GDAX.BTC-USD;D;20200806;000000;11756.7500000;11916.6800000;11580.1900000;11773.8900000;18054
GDAX.BTC-USD;D;20200807;000000;11773.8900000;11920.0000000;11350.0000000;11606.5200000;23743
GDAX.BTC-USD;D;20200808;000000;11606.5200000;11818.1800000;11529.4500000;11774.9800000;7319
GDAX.BTC-USD;D;20200809;000000;11773.2400000;11810.2400000;11532.0400000;11688.4800000;7591
GDAX.BTC-USD;D;20200810;000000;11688.2500000;12086.2200000;11470.0100000;11899.7300000;22152
GDAX.BTC-USD;D;20200811;000000;11899.8700000;11943.0000000;11120.0000000;11388.5300000;20698
GDAX.BTC-USD;D;20200812;000000;11388.8800000;11625.0000000;11148.5400000;11566.4500000;12834
GDAX.BTC-USD;D;20200813;000000;11566.4400000;11802.0900000;11274.1400000;11795.9500000;15372
GDAX.BTC-USD;D;20200814;000000;11795.9500000;11865.9700000;11651.2400000;11779.0000000;13796
GDAX.BTC-USD;D;20200815;000000;11777.5000000;11989.9800000;11688.0000000;11859.2400000;12590
GDAX.BTC-USD;D;20200816;000000;11860.0200000;11940.0000000;11686.5300000;11918.8400000;8901
GDAX.BTC-USD;D;20200817;000000;11918.8400000;12486.6100000;11775.0000000;12304.2600000;23813
GDAX.BTC-USD;D;20200818;000000;12303.9800000;12400.0000000;11825.0000000;11950.0000000;18639
GDAX.BTC-USD;D;20200819;000000;11954.2200000;12024.8300000;11569.0000000;11758.8700000;16653
GDAX.BTC-USD;D;20200820;000000;11758.8700000;11892.1600000;11671.4800000;11864.2600000;8813
GDAX.BTC-USD;D;20200821;000000;11864.2600000;11884.9900000;11480.0000000;11529.2200000;14854
GDAX.BTC-USD;D;20200822;000000;11529.9900000;11693.1600000;11370.0000000;11672.9300000;7946
GDAX.BTC-USD;D;20200823;000000;11672.9200000;11715.0000000;11525.6200000;11650.0100000;5511
GDAX.BTC-USD;D;20200824;000000;11650.0100000;11823.6200000;11592.9100000;11753.8500000;7243
GDAX.BTC-USD;D;20200825;000000;11753.2600000;11769.7600000;11102.7300000;11324.9200000;14348
GDAX.BTC-USD;D;20200826;000000;11324.9200000;11539.9900000;11254.8900000;11463.2700000;9108
GDAX.BTC-USD;D;20200827;000000;11463.2700000;11597.9200000;11125.0000000;11330.0600000;13497
GDAX.BTC-USD;D;20200828;000000;11330.5600000;11550.5100000;11282.0900000;11535.0000000;10359
GDAX.BTC-USD;D;20200829;000000;11535.0000000;11580.0000000;11422.2100000;11474.3100000;5431
GDAX.BTC-USD;D;20200830;000000;11474.3000000;11720.0000000;11463.8700000;11716.0100000;5572
GDAX.BTC-USD;D;20200831;000000;11716.0000000;11784.6600000;11576.0000000;11655.0000000;9125
GDAX.BTC-USD;D;20200901;000000;11655.0000000;12086.0000000;11525.0900000;11924.2200000;16063
GDAX.BTC-USD;D;20200902;000000;11924.2200000;11950.0000000;11160.0000000;11395.4800000;19729
GDAX.BTC-USD;D;20200903;000000;11395.4900000;11474.9900000;10005.0000000;10172.5200000;30389
GDAX.BTC-USD;D;20200904;000000;10172.1300000;10638.3400000;9895.2200000;10500.0500000;23379
GDAX.BTC-USD;D;20200905;000000;10500.0500000;10564.8000000;9813.0000000;10168.3600000;22459
GDAX.BTC-USD;D;20200906;000000;10169.5800000;10358.8800000;10000.0000000;10257.8600000;9504
GDAX.BTC-USD;D;20200907;000000;10258.6700000;10410.9000000;9880.0000000;10375.0000000;11989
GDAX.BTC-USD;D;20200908;000000;10375.0000000;10440.9100000;9819.8300000;10125.6900000;15771
GDAX.BTC-USD;D;20200909;000000;10126.4100000;10349.9900000;9983.3400000;10224.5600000;9652
GDAX.BTC-USD;D;20200910;000000;10224.5600000;10489.0000000;10216.4100000;10343.2300000;11223
GDAX.BTC-USD;D;20200911;000000;10344.2400000;10411.4400000;10200.0000000;10394.4100000;7195
GDAX.BTC-USD;D;20200912;000000;10394.4100000;10483.2300000;10276.1900000;10446.5200000;6481
GDAX.BTC-USD;D;20200913;000000;10446.5200000;10582.3600000;10211.0000000;10336.7600000;10448
GDAX.BTC-USD;D;20200914;000000;10336.7600000;10760.6200000;10253.0000000;10679.9500000;13530
GDAX.BTC-USD;D;20200915;000000;10678.4100000;10950.0000000;10613.1800000;10783.7500000;12645
GDAX.BTC-USD;D;20200916;000000;10783.3600000;11099.9500000;10662.0200000;10959.6100000;10994
GDAX.BTC-USD;D;20200917;000000;10957.0600000;11044.0000000;10735.5500000;10943.6100000;8908
GDAX.BTC-USD;D;20200918;000000;10943.9900000;11039.8800000;10813.0000000;10937.5200000;8670
GDAX.BTC-USD;D;20200919;000000;10937.5000000;11179.9000000;10891.7800000;11080.0000000;5720
GDAX.BTC-USD;D;20200920;000000;11081.0900000;11081.3700000;10759.3700000;10920.8900000;5962
GDAX.BTC-USD;D;20200921;000000;10920.9400000;10994.0000000;10180.0000000;10416.8200000;15015
GDAX.BTC-USD;D;20200922;000000;10416.8300000;10576.8200000;10355.0000000;10531.1300000;7918
GDAX.BTC-USD;D;20200923;000000;10531.1300000;10541.2500000;10135.2200000;10235.1000000;8904
GDAX.BTC-USD;D;20200924;000000;10237.4100000;10795.8700000;10192.5600000;10740.0100000;9681
GDAX.BTC-USD;D;20200925;000000;10740.0000000;10765.0700000;10551.0000000;10690.5300000;9675
GDAX.BTC-USD;D;20200926;000000;10690.5300000;10828.0000000;10654.5800000;10730.0000000;3783
GDAX.BTC-USD;D;20200927;000000;10730.0000000;10806.3200000;10595.2400000;10778.2000000;3864
GDAX.BTC-USD;D;20200928;000000;10779.0000000;10956.1100000;10621.2200000;10695.5500000;8878
GDAX.BTC-USD;D;20200929;000000;10694.9000000;10860.7900000;10636.1300000;10840.7300000;8194
GDAX.BTC-USD;D;20200930;000000;10839.9800000;10847.0000000;10657.0400000;10779.6300000;6310
GDAX.BTC-USD;D;20201001;000000;10779.6300000;10931.9800000;10427.7500000;10617.6300000;12848
GDAX.BTC-USD;D;20201002;000000;10616.3500000;10668.5600000;10363.7600000;10573.1200000;10251
GDAX.BTC-USD;D;20201003;000000;10573.1200000;10606.3600000;10498.0200000;10551.6500000;3203
GDAX.BTC-USD;D;20201004;000000;10550.3200000;10697.0000000;10521.8700000;10671.1100000;3551
GDAX.BTC-USD;D;20201005;000000;10670.0100000;10800.0000000;10621.1200000;10795.0000000;6076
GDAX.BTC-USD;D;20201006;000000;10796.9700000;10800.0000000;10524.0000000;10602.6600000;7586
GDAX.BTC-USD;D;20201007;000000;10601.2000000;10683.7500000;10546.7800000;10670.4700000;6106
GDAX.BTC-USD;D;20201008;000000;10670.4700000;10963.1600000;10532.1100000;10933.0900000;11303
GDAX.BTC-USD;D;20201009;000000;10932.4400000;11111.1100000;10834.4900000;11057.0700000;10096
GDAX.BTC-USD;D;20201010;000000;11057.0700000;11498.9800000;11055.7500000;11299.5000000;9324
GDAX.BTC-USD;D;20201011;000000;11299.5200000;11444.2500000;11276.2800000;11374.0100000;5152
GDAX.BTC-USD;D;20201012;000000;11374.0100000;11736.0200000;11187.6000000;11535.4600000;11056
GDAX.BTC-USD;D;20201013;000000;11535.4600000;11561.4500000;11312.5900000;11428.2200000;8628
GDAX.BTC-USD;D;20201014;000000;11428.2200000;11556.3700000;11290.8300000;11427.7000000;7083
GDAX.BTC-USD;D;20201015;000000;11427.7000000;11641.3800000;11263.1500000;11509.3400000;8537
GDAX.BTC-USD;D;20201016;000000;11509.3100000;11550.0100000;11201.0000000;11328.9500000;9506
GDAX.BTC-USD;D;20201017;000000;11328.2700000;11421.0000000;11264.7500000;11367.8900000;3588
GDAX.BTC-USD;D;20201018;000000;11367.9000000;11523.0000000;11350.3700000;11514.2000000;4323
GDAX.BTC-USD;D;20201019;000000;11514.2000000;11833.0000000;11416.0400000;11760.4500000;10301
GDAX.BTC-USD;D;20201020;000000;11760.4500000;12050.0000000;11685.0000000;11923.8300000;13843
GDAX.BTC-USD;D;20201021;000000;11923.0700000;13250.0400000;11900.0100000;12808.0000000;32400
GDAX.BTC-USD;D;20201022;000000;12808.0100000;13200.0000000;12698.0200000;12987.0200000;20325
GDAX.BTC-USD;D;20201023;000000;12988.2000000;13037.0000000;12722.7200000;12937.0900000;10437
GDAX.BTC-USD;D;20201024;000000;12938.0000000;13175.0000000;12884.3100000;13126.2400000;7912
GDAX.BTC-USD;D;20201025;000000;13126.3400000;13361.0000000;12890.7600000;13045.0000000;9277
GDAX.BTC-USD;D;20201026;000000;13045.0200000;13250.0000000;12785.0000000;13068.7900000;12268
GDAX.BTC-USD;D;20201027;000000;13068.7900000;13793.7200000;13061.2800000;13698.1800000;17247
GDAX.BTC-USD;D;20201028;000000;13740.8500000;13863.8700000;12891.5700000;13281.0500000;21062
GDAX.BTC-USD;D;20201029;000000;13281.0600000;13650.0000000;12976.2900000;13460.0000000;15789
GDAX.BTC-USD;D;20201030;000000;13460.0000000;13687.8200000;13131.3100000;13571.5100000;15672
GDAX.BTC-USD;D;20201031;000000;13571.5100000;14098.9200000;13424.7300000;13804.8100000;12141
GDAX.BTC-USD;D;20201101;000000;13803.6900000;13906.7400000;13630.0500000;13771.5900000;6257
GDAX.BTC-USD;D;20201102;000000;13771.7000000;13840.0000000;13215.0000000;13563.2200000;12194
GDAX.BTC-USD;D;20201103;000000;13563.2200000;14081.4500000;13290.0000000;14035.8000000;13961
GDAX.BTC-USD;D;20201104;000000;14034.3500000;14273.6000000;13530.0100000;14161.4800000;16889
GDAX.BTC-USD;D;20201105;000000;14165.8600000;15775.0000000;14115.0000000;15608.2100000;31856
GDAX.BTC-USD;D;20201106;000000;15608.0600000;15977.6700000;15190.3600000;15599.9500000;25143
GDAX.BTC-USD;D;20201107;000000;15599.9500000;15779.2400000;14310.0000000;14834.0900000;23559
GDAX.BTC-USD;D;20201108;000000;14834.0900000;15666.0000000;14721.9000000;15482.9000000;11847
GDAX.BTC-USD;D;20201109;000000;15482.8900000;15856.9000000;14817.1400000;15342.2500000;21957
GDAX.BTC-USD;D;20201110;000000;15342.1000000;15481.0600000;15090.0800000;15315.0300000;13501
GDAX.BTC-USD;D;20201111;000000;15315.4600000;16000.0000000;15293.0400000;15705.7900000;15259
GDAX.BTC-USD;D;20201112;000000;15705.7900000;16370.8900000;15446.8200000;16310.8100000;22175
GDAX.BTC-USD;D;20201113;000000;16310.8100000;16491.9200000;15975.0000000;16339.5600000;14597
GDAX.BTC-USD;D;20201114;000000;16339.5600000;16339.6000000;15708.2400000;16082.0100000;9207
GDAX.BTC-USD;D;20201115;000000;16082.0100000;16175.6000000;15796.0900000;15966.8900000;6243
GDAX.BTC-USD;D;20201116;000000;15970.0000000;16892.0000000;15879.0000000;16726.6400000;13937
GDAX.BTC-USD;D;20201117;000000;16726.4900000;17880.0000000;16575.4200000;17679.3600000;25252
GDAX.BTC-USD;D;20201118;000000;17679.8600000;18488.0000000;17205.0200000;17782.9100000;32408
GDAX.BTC-USD;D;20201119;000000;17790.1800000;18193.2900000;17356.0000000;17821.5800000;17144
GDAX.BTC-USD;D;20201120;000000;17821.9200000;18830.3000000;17764.7600000;18675.2500000;17906
GDAX.BTC-USD;D;20201121;000000;18677.8400000;18980.0000000;18350.0000000;18721.2100000;13592
GDAX.BTC-USD;D;20201122;000000;18721.2100000;18773.5600000;17610.7700000;18437.6600000;15416
GDAX.BTC-USD;D;20201123;000000;18437.1800000;18777.7700000;18001.0000000;18384.8200000;17675
GDAX.BTC-USD;D;20201124;000000;18384.8200000;19469.0000000;18052.0200000;19172.8400000;26623
GDAX.BTC-USD;D;20201125;000000;19172.9000000;19500.0000000;18502.0000000;18721.9300000;20483
GDAX.BTC-USD;D;20201126;000000;18717.2400000;18915.4800000;16200.0000000;17170.0000000;48632
GDAX.BTC-USD;D;20201127;000000;17169.9900000;17475.0000000;16400.0000000;17153.9500000;23339
GDAX.BTC-USD;D;20201128;000000;17155.4300000;17933.2500000;16880.0000000;17739.8500000;13162
GDAX.BTC-USD;D;20201129;000000;17736.1000000;18359.0000000;17535.2600000;18202.0400000;8935
GDAX.BTC-USD;D;20201130;000000;18202.0200000;19873.2300000;18201.4700000;19713.9400000;27289
GDAX.BTC-USD;D;20201201;000000;19713.9400000;19915.1400000;18109.0000000;18782.9700000;22475
GDAX.BTC-USD;D;20201202;000000;18778.1800000;19340.0000000;18335.0000000;19225.6300000;11086
GDAX.BTC-USD;D;20201203;000000;19222.4500000;19625.6400000;18885.0000000;19448.6400000;10073
GDAX.BTC-USD;D;20201204;000000;19446.4300000;19546.4600000;18576.0500000;18658.1000000;11229
GDAX.BTC-USD;D;20201205;000000;18658.0900000;19189.9800000;18501.0000000;19158.9600000;4334
GDAX.BTC-USD;D;20201206;000000;19158.9600000;19430.2500000;18878.0000000;19375.6000000;4131
GDAX.BTC-USD;D;20201207;000000;19375.6000000;19432.5700000;18901.0000000;19177.7100000;6158
GDAX.BTC-USD;D;20201208;000000;19177.0800000;19299.5100000;18200.0000000;18316.2200000;10828
GDAX.BTC-USD;D;20201209;000000;18316.2200000;18647.3300000;17639.0000000;18546.5500000;14700
GDAX.BTC-USD;D;20201210;000000;18546.5500000;18556.4200000;17905.0000000;18253.4400000;11202
GDAX.BTC-USD;D;20201211;000000;18257.1800000;18293.0800000;17580.0000000;18042.1500000;12179
GDAX.BTC-USD;D;20201212;000000;18044.1900000;18955.3400000;18023.5700000;18821.2800000;5852
GDAX.BTC-USD;D;20201213;000000;18821.2800000;19421.0300000;18730.0000000;19166.6500000;7892
GDAX.BTC-USD;D;20201214;000000;19166.6500000;19349.9800000;18967.6800000;19272.3700000;6846
GDAX.BTC-USD;D;20201215;000000;19272.3700000;19565.0000000;19051.2700000;19444.6000000;11541
GDAX.BTC-USD;D;20201216;000000;19443.1900000;21569.9400000;19300.0000000;21359.6500000;24534
GDAX.BTC-USD;D;20201217;000000;21360.5000000;23776.9400000;21252.0100000;22826.4800000;39621
GDAX.BTC-USD;D;20201218;000000;22826.3700000;23280.0000000;22329.0000000;23137.7600000;18485
GDAX.BTC-USD;D;20201219;000000;23138.8900000;24200.0000000;22770.0000000;23849.9900000;14125
